"","Gene","SPM.vs.Other","SM.vs.Other","FM.vs.Other","AveExpr","F","P.Value","adj.P.Val"
"80","AC194056.3-FG008",-0.722810744433876,-0.697183921786083,1.41999466621996,6.52209576383037,28.2979610723292,5.13276826575839e-13,1.3926483497069e-10
"81","AC194974.3-FG005",-1.23610102111614,-0.133728772122416,1.36982979323855,5.55257466132994,28.1166699244001,6.15297856768713e-13,1.64884633074342e-10
"82","GRMZM5G846057",-1.04016376672712,-0.322345546742875,1.36250931347,6.702301615521,28.0864775422658,6.3415845526169e-13,1.67007558780978e-10
"83","GRMZM2G135526",-1.16464331444889,-0.273045889305566,1.43768920375446,5.487378367607,28.0794854335839,6.38608098167381e-13,1.67007558780978e-10
"84","GRMZM2G449950",0.994795363032611,0.555596963531289,-1.5503923265639,7.05550686036106,28.0093530914564,6.85003058663423e-13,1.77008052277956e-10
"85","GRMZM2G031904",0.570926935249266,0.961019025097515,-1.53194596034678,7.59484215789696,27.7271931544092,9.08307738742904e-13,2.31949738554747e-10
"86","GRMZM2G110894",-1.07131951779907,-0.27319198164868,1.34451149944775,5.72008209061176,27.6870152621857,9.45544670849565e-13,2.3865107704024e-10
"87","GRMZM2G087875",-1.09776751723404,-0.332340754482938,1.43010827171698,7.16380727138248,27.5345227430568,1.10130778917327e-12,2.74769964043621e-10
"88","GRMZM2G162359",-0.956384570851178,-0.397490519529872,1.35387509038105,5.80552676369447,27.4650959767579,1.18048472634971e-12,2.91177289433487e-10
"89","GRMZM2G443525",-0.924241796253487,-0.517069232493138,1.44131102874663,6.95853431049565,27.4357756192636,1.21560937790933e-12,2.96472102886517e-10
"90","GRMZM2G132077",1.1407470654361,0.779655057782214,-1.92040212321831,9.81533574651475,27.4075516037714,1.25040751746743e-12,3.01570506379423e-10
"91","GRMZM2G000812",-1.21743647085306,0.0917892135578313,1.12564725729523,6.05692752041934,27.2823785869202,1.41714251244675e-12,3.38027421705156e-10
"92","GRMZM2G107129",-1.28903546191881,-0.124316743564538,1.41335220548334,5.38932801864509,27.1780979743524,1.57290329100045e-12,3.71102596026692e-10
"93","GRMZM2G136635",1.15193211518645,0.326349813027665,-1.47828192821412,7.59131789103876,27.0393855927488,1.80694129436004e-12,4.21736212208377e-10
"94","GRMZM2G016435",0.501744340182788,1.0004987708738,-1.50224311105659,7.62560081079931,27.0048580866139,1.87042004626709e-12,4.31907846002909e-10
"95","GRMZM2G073377",-1.06989178475153,-0.283044821411266,1.35293660616279,5.6352535738835,26.9599064544018,1.95641684828346e-12,4.47010359040429e-10
"96","GRMZM2G175856",0.0541684143653551,-1.50048086206979,1.44631244770443,8.53245687496933,26.9384552182568,1.99883777204793e-12,4.51945548750754e-10
"97","GRMZM2G322672",-0.647885119617191,-0.737418782623618,1.38530390224081,5.88843246389164,26.8497803654822,2.18418060802637e-12,4.88761075029077e-10
"98","GRMZM2G327260",-0.562864841034081,-0.795828037836474,1.35869287887055,6.10174122768773,26.7569776274577,2.39658183912418e-12,5.30818422449281e-10
"99","GRMZM2G071478",-0.805203542491582,-0.539818786007131,1.34502232849871,6.35707877810503,26.7373131224422,2.44417585744727e-12,5.3589172890657e-10
"100","GRMZM2G055052",-0.933959046936608,-0.36601670007964,1.29997574701625,6.30542767972143,26.6874653858281,2.56910022371287e-12,5.57648894559116e-10
"101","GRMZM5G822237",-0.814512995858049,-1.10090162843086,1.91541462428891,9.3574198138446,26.6651318231534,2.62712289937712e-12,5.64597323305739e-10
"102","GRMZM2G067223",1.06291488620797,0.413031749943295,-1.47594663615127,7.16654169884726,26.5658626844459,2.90129860468902e-12,6.1740772071941e-10
"103","GRMZM2G441656",0.545885882735453,0.980840393999293,-1.52672627673475,6.81604323664667,26.5484288709219,2.95232278421443e-12,6.22166197613188e-10
"104","GRMZM2G425004",-0.802638593575098,-0.771593193140706,1.5742317867158,7.6678688529638,26.5154041354507,3.05145028376626e-12,6.36426167405992e-10
"105","GRMZM2G170017",-1.17865511787904,-0.249505500267896,1.42816061814693,7.47269792335286,26.5065363512988,3.07863022102779e-12,6.36426167405992e-10
"106","GRMZM2G098594",-1.16837566925301,-0.188771984434275,1.35714765368728,5.51937822701026,26.474435358657,3.17906064109336e-12,6.50987644109174e-10
"107","GRMZM2G134708",-1.0082484436928,-0.661445562458323,1.66969400615112,8.1960135932028,26.4598996935635,3.22560787986087e-12,6.54346211591216e-10
"108","GRMZM2G344388",0.919929212816216,0.63950292507105,-1.55943213788727,8.04695001298197,26.4376902705373,3.29804822124784e-12,6.62846617503755e-10
"109","GRMZM2G358987",-0.980929046864282,-0.346994904026365,1.32792395089065,5.74260196802475,26.4146505907711,3.37491630384913e-12,6.72072782489443e-10
"110","GRMZM2G025459",-1.35262219259078,0.458466454122113,0.894155738468667,5.91291114000505,26.3160657288025,3.72458481711166e-12,7.34962164002052e-10
